Source,Destination,Protocol,Length,Src_Port,Dst_Port,Timestamp,TCP_Flags,Label,Source_IP,Destination_IP
192.168.137.137,192.168.137.139,2,1066,38247,80,1717489764.8399055,,UDP Flood,3232270729,3232270731
192.168.137.137,192.168.137.139,2,1066,37003,80,1717489764.8399057,,UDP Flood,3232270729,3232270731
192.168.137.137,192.168.137.139,2,1066,37003,80,1717489764.8399057,,UDP Flood,3232270729,3232270731
192.168.137.137,192.168.137.139,2,1066,37003,80,1717489764.839906,,UDP Flood,3232270729,3232270731
192.168.137.137,192.168.137.139,2,1066,37003,80,1717489764.8409567,,UDP Flood,3232270729,3232270731
192.168.137.137,192.168.137.139,2,1066,50653,80,1717489764.8409572,,UDP Flood,3232270729,3232270731
192.168.137.137,192.168.137.139,2,1066,50653,80,1717489764.8412917,,UDP Flood,3232270729,3232270731
192.168.137.137,192.168.137.139,2,1066,50653,80,1717489764.841292,,UDP Flood,3232270729,3232270731
192.168.137.137,192.168.137.139,2,1066,50653,80,1717489764.8422573,,UDP Flood,3232270729,3232270731
192.168.137.137,192.168.137.139,2,1066,43332,80,1717489764.8422575,,UDP Flood,3232270729,3232270731
192.168.137.137,192.168.137.139,2,1066,43332,80,1717489764.8422577,,UDP Flood,3232270729,3232270731
192.168.137.137,192.168.137.139,2,1066,43332,80,1717489764.8422577,,UDP Flood,3232270729,3232270731
192.168.137.137,192.168.137.139,2,1066,43332,80,1717489764.8432798,,UDP Flood,3232270729,3232270731
192.168.137.137,192.168.137.139,2,1066,47523,80,1717489764.84328,,UDP Flood,3232270729,3232270731
192.168.137.137,192.168.137.139,2,1066,47523,80,1717489764.8432803,,UDP Flood,3232270729,3232270731
192.168.137.137,192.168.137.139,2,1066,47523,80,1717489764.8432803,,UDP Flood,3232270729,3232270731
192.168.137.137,192.168.137.139,2,1066,47523,80,1717489764.8439195,,UDP Flood,3232270729,3232270731
192.168.137.137,192.168.137.139,2,1066,54681,80,1717489764.84392,,UDP Flood,3232270729,3232270731
192.168.137.137,192.168.137.139,2,1066,54681,80,1717489764.844363,,UDP Flood,3232270729,3232270731
192.168.137.137,192.168.137.139,2,1066,54681,80,1717489764.8443632,,UDP Flood,3232270729,3232270731
192.168.137.137,192.168.137.139,2,1066,54681,80,1717489764.8450503,,UDP Flood,3232270729,3232270731
192.168.137.137,192.168.137.139,2,1066,50571,80,1717489764.8450508,,UDP Flood,3232270729,3232270731
192.168.137.137,192.168.137.139,2,1066,50571,80,1717489764.8453455,,UDP Flood,3232270729,3232270731
192.168.137.137,192.168.137.139,2,1066,50571,80,1717489764.845346,,UDP Flood,3232270729,3232270731
192.168.137.137,192.168.137.139,2,1066,50571,80,1717489764.8462908,,UDP Flood,3232270729,3232270731
192.168.137.137,192.168.137.139,2,1066,33592,80,1717489764.846291,,UDP Flood,3232270729,3232270731
