Source,Destination,Protocol,Length,Src_Port,Dst_Port,Timestamp,TCP_Flags,Label,Source_IP,Destination_IP
192.168.137.139,34.120.208.123,1,134,52974,443,1717495282.6941926,24.0,Other,3232270731,578343035
34.120.208.123,192.168.137.139,1,60,443,52974,1717495282.6949627,16.0,Other,578343035,3232270731
192.168.137.139,34.120.208.123,1,100,52974,443,1717495282.7033098,24.0,Other,3232270731,578343035
192.168.137.139,34.120.208.123,1,103,52974,443,1717495282.703497,24.0,Other,3232270731,578343035
34.120.208.123,192.168.137.139,1,672,443,52974,1717495282.7037215,24.0,Other,578343035,3232270731
34.120.208.123,192.168.137.139,1,60,443,52974,1717495282.703722,16.0,Other,578343035,3232270731
34.120.208.123,192.168.137.139,1,60,443,52974,1717495282.7037222,16.0,Other,578343035,3232270731
192.168.137.139,34.120.208.123,1,89,52974,443,1717495282.7037573,24.0,Other,3232270731,578343035
34.120.208.123,192.168.137.139,1,60,443,52974,1717495282.7041602,16.0,Other,578343035,3232270731
192.168.137.139,34.120.208.123,1,282,52974,443,1717495282.7059352,24.0,Other,3232270731,578343035
34.120.208.123,192.168.137.139,1,60,443,52974,1717495282.7065237,16.0,Other,578343035,3232270731
192.168.137.139,34.120.208.123,1,85,52974,443,1717495282.7079384,24.0,Other,3232270731,578343035
34.120.208.123,192.168.137.139,1,60,443,52974,1717495282.7083452,16.0,Other,578343035,3232270731
192.168.137.139,34.120.208.123,1,2853,52974,443,1717495282.7094066,24.0,Other,3232270731,578343035
34.120.208.123,192.168.137.139,1,60,443,52974,1717495282.710067,16.0,Other,578343035,3232270731
34.120.208.123,192.168.137.139,1,60,443,52974,1717495282.7100673,16.0,Other,578343035,3232270731
34.120.208.123,192.168.137.139,1,85,443,52974,1717495282.7155137,24.0,Other,578343035,3232270731
192.168.137.139,34.120.208.123,1,54,52974,443,1717495282.7568696,16.0,Other,3232270731,578343035
34.120.208.123,192.168.137.139,1,526,443,52974,1717495282.9173834,24.0,Other,578343035,3232270731
192.168.137.139,34.120.208.123,1,54,52974,443,1717495282.9174645,16.0,Other,3232270731,578343035
34.120.208.123,192.168.137.139,1,93,443,52974,1717495282.9187248,24.0,Other,578343035,3232270731
192.168.137.139,34.120.208.123,1,54,52974,443,1717495282.9187396,16.0,Other,3232270731,578343035
192.168.137.139,34.120.208.123,1,93,52974,443,1717495282.9223619,24.0,Other,3232270731,578343035
34.120.208.123,192.168.137.139,1,60,443,52974,1717495282.9230297,16.0,Other,578343035,3232270731
192.168.137.139,34.120.208.123,1,78,52974,443,1717495282.923094,24.0,Other,3232270731,578343035
34.120.208.123,192.168.137.139,1,60,443,52974,1717495282.9234047,16.0,Other,578343035,3232270731
192.168.137.139,34.120.208.123,1,54,52974,443,1717495282.9244618,17.0,Other,3232270731,578343035
34.120.208.123,192.168.137.139,1,60,443,52974,1717495282.9249709,16.0,Other,578343035,3232270731
34.120.208.123,192.168.137.139,1,60,443,52974,1717495282.9300733,25.0,Other,578343035,3232270731
192.168.137.139,34.120.208.123,1,54,52974,443,1717495282.9301045,16.0,Other,3232270731,578343035
192.168.137.139,192.168.137.2,1,119,36814,53,1717495282.9616742,24.0,Other,3232270731,3232270594
